plant_name,country,fuel_group,capacity_mw,latitude,longitude
Northwest Kabul Power Plant Afghanistan,AFG,gas,42.0,34.5638,69.1134
Ain Djasser,DZA,gas,520.0,35.8665,6.0262
Annaba,DZA,gas,71.0,36.8924,7.7634
Arbaa,DZA,gas,560.0,36.5988,3.1375
Boufarik 1,DZA,gas,100.0,36.5914,2.9223
Boufarik 2,DZA,gas,450.0,36.596,2.878
Boutelilis,DZA,gas,450.0,35.5658,-0.9386
F'Krina,DZA,gas,292.0,35.7666,7.3619
Hadjret Ennous,DZA,gas,1200.0,36.5767,2.0797
Hamma 2,DZA,gas,418.0,36.7489,3.0823
Hassi Messaoud Mobile,DZA,gas,72.0,31.6703,6.0531
Hassi Messoud,DZA,gas,600.0,31.6703,6.0531
Hassi Messoud Nord 2,DZA,gas,200.0,31.7877,6.0517
Hassi Messoud Ouest,DZA,gas,492.0,31.8065,5.9924
Jijel,DZA,gas,588.0,36.8139,5.876
Kahrama IPP,DZA,gas,345.0,35.8064,-0.2476
Koudiet Eddraouch,DZA,gas,1200.0,36.885,8.0778
Labreg,DZA,gas,396.0,34.5056,6.9848
Marsat,DZA,gas,840.0,35.8,-0.1924
Marsat TG,DZA,gas,184.0,35.8,-0.1924
Msila 1,DZA,gas,980.0,35.7071,4.4804
Ras Djinet,DZA,gas,672.0,36.8509,3.6983
Ravin Blanc,DZA,gas,73.0,35.7095,-0.6319
Relizane,DZA,gas,465.0,35.7835,0.5407
SKB IPP,DZA,gas,484.0,36.1399,2.9296
SKS IPP SNC Lavalin,DZA,gas,815.0,36.8789,6.9366
SPP1 Thermal,DZA,gas,150.0,32.9475,3.238
Skikda,DZA,gas,262.0,36.88,6.935
Terga,DZA,gas,1200.0,35.4608,-1.2295
Tiaret,DZA,gas,300.0,35.3396,1.3562
Tilghemt 1,DZA,gas,200.0,33.1319,3.348
Tilghemt 2,DZA,gas,600.0,33.1377,3.3678
Biopio,AGO,oil,22.8,-12.4706,13.7319
Cazenga,AGO,gas,132.0,-8.8383,13.2344
Huambo,AGO,oil,16.26,-12.76,15.75
Lobito,AGO,gas,20.0,-12.37,13.57
Luanda Diesel,AGO,oil,58.0,-8.8383,13.2344
Luanda Refinery,AGO,oil,18.5,-8.8383,13.2344
Malongo,AGO,oil,10.0,-5.55,12.2
Namibe,AGO,gas,11.68,-15.1961,12.1522
Xitoto,AGO,oil,11.34,-15.3333,15.0
McMurdo Station Generator,ATA,oil,6.6,-77.847,166.6605
AGUA DEL CAJON (GENERADOR DEL MEM),ARG,gas,192.0,-38.9368,-68.3556
ALMIRANTE BROWN,ARG,oil,25.0,-34.8386,-58.4033
ALTO VALLE,ARG,gas,97.5,-38.9524,-68.0218
ALUMINE,ARG,oil,1.904,-39.2145,-70.9157
BANDERA,ARG,oil,31.0,-23.8219,-64.7847
BARILOCHE (PUERTO  MORENO),ARG,oil,5.736000000000001,-41.1167,-71.4167
BERNARDO  DE IRIGOYEN,ARG,oil,2.096,-26.2545,-53.6469
C.T. RUFINO,ARG,oil,31.9,-34.2605,-62.7107
C.T. SAN VICENTE,ARG,oil,27.6,-35.0241,-58.4237
CAA CATI,ARG,oil,1.415,-27.7534,-57.6205
CACHI,ARG,oil,1.07,-25.1089,-66.2106
CAFAYATE,ARG,oil,4.182,-26.0715,-65.9876
CAPITAL CATAMARCA - PREDIO CHOYA,ARG,oil,5.728,-28.4537,-65.7841
CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG,oil,7.075,-28.4773,-65.7872
CAPITAL CATAMARCA - PREDIO RIPIERA,ARG,oil,4.675,-28.4684,-65.7797
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG,coal,620.0,-38.7872,-62.2536
