location_id,latitude,longitude,bioenergy_Announced,bioenergy_Existing,coal_Announced,coal_Existing,geothermal_Announced,geothermal_Existing,hydropower_Announced,hydropower_Existing,nuclear_Announced,nuclear_Existing,oil_gas_Announced,oil_gas_Existing,solar_Announced,solar_Existing,wind_Announced,wind_Existing
1,46.642609617244794,45.430128202060565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,100.0
2,-74.70869257796618,-126.61306010482892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-5.738524776896694,-36.138983878255615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.2,717.6,1534.9,1200.7,8547.2
6,-24.82055460538386,45.75335992386596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,57.638006314878965,159.30660815202117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,47.56202522693011,-53.35236013729759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,489.90000000000003,0.0,0.0,0.0,27.0
10,8.770858841494825,80.67372619582237,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,1028.2,12.6,0.0,20.0
11,8.878765545831731,10.535713805729483,0.0,0.0,100.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-36.419749328212625,-72.01940279067956,0.0,168.5,0.0,0.0,0.0,0.0,94.0,1047.0,0.0,0.0,0.0,750.9,53.6,241.3,0.0,244.7
13,7.548109191615815,-77.53340417071377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-43.03270012066527,147.0603804323143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-66.50441351315084,54.4443432320654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,33.238083377042365,114.08179635862017,0.0,587.5,2350.0,8180.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,1680.0,85.0,1368.6,1488.0,9179.7
17,21.96763540120631,-159.24591523272957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,75.3,0.0,0.0
18,66.71064623657516,-116.04457929547155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,41.87034173474375,-3.6502483966772177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,9827.1,642.2,298.2,3325.7
20,9.745370844584599,45.83062337273734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,0.0,0.0
23,-25.12495145913201,114.16826381192332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0
25,-20.792117844637033,13.927263555652802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,34.2898831284443,-86.02996744151636,0.0,85.9,0.0,2822.0,0.0,0.0,0.0,3116.0,0.0,0.0,0.0,1318.0,0.0,202.6,0.0,0.0
27,-70.4398821800101,133.88905431979876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,54.000667584665884,88.2485297131902,0.0,0.0,0.0,2529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0
29,15.956107026586302,-16.169552498036353,42.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,50.0
30,1.0705930101971677,109.59242854341578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-12.59910603278989,-61.26103490268672,0.0,24.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,65.09069254814686,-19.161516414785524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,31.963211784980505,71.64511110635684,0.0,27.0,0.0,40.0,0.0,0.0,0.0,280.0,1200.0,1330.0,0.0,2493.0,0.0,66.9,0.0,0.0
